"A George Aldridge",,,,
"A. G. James",,,,
"Adam Van Coevorden",,,,
"Alison Powell",,,,
"Alton William Hillen",,,,
"Andrew Erlam",,,,
"Anne Harriss",,,,
"Anthony Gates",,,,
"Barry Leach",,,,
"Christina Simmonds",,,,
"Cuthbert Plaistowe",,,,
"Cyril C Poole",,,,
"David Swindley",,,,
"Edmund Carrington Smith",,,,
"Francis Shirley Russell",,,,
"Frank Debenham",,,,
"Frederick Carson Rodger",,,,
"George Penny","Q76448988","2019 United Kingdom general election","Cheltenham","Labour Party"
"George Ridgeon","Q76130513","2019 United Kingdom general election","Cheltenham","Official Monster Raving Loony Party"
"Gordon Cook",,,,
"Henry Brighouse",,,,
"Hugh Gray",,,,
"James Anthony Lemkin",,,,
"James Finnigan",,,,
"James Green",,,,
"John Ramage",,,,
"Judith James",,,,
"Kamalakant G. Pendse",,,,
"Keith Bessant",,,,
"Kenneth Hanks",,,,
"Leslie George Godwin",,,,
"Lewis Mathias",,,,
"Mark Bruce-Smith",,,,
"Mark Coote",,,,
"Max Wilkinson","Q76738127","2019 United Kingdom general election","Cheltenham","Liberal Democrats"
"Mervyn Rendell",,,,
"Michael Luker",,,,
"Michael Reilley",,,,
"Niall Warry",,,,
"Pamela Tatlow","Q98539507","1983 United Kingdom general election","Bristol West","Labour Party"
"Paul Gilbert",,,,
"Peter Bowman",,,,
"Phyllis Maude Warner",,,,
"R. T. Harper",,,,
"Raymond Jacklin",,,,
"Richard Davies",,,,
"Richard Lupson-Darnell",,,,
"Rob Garnham",,,,
"Robert Hodges",,,,
"Russell Hugh Worthington Biggs",,,,
"Sally Brighouse",,,,
"W. John Wilson",,,,
"Wilfrid T Blaydes",,,,
"William Penn Gaskell",,,,
"William Ramsey Piggott",,,,
"William Ridler",,,,
"William Todman",,,,
